"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 28 17:11:17 GMT 2025","Tue Oct 28 17:11:30 GMT 2025","13566","API test case","test_dashboards","TestDashboards","","","п.3, Проверка отображения инспекций СК в диаграмме ""Инспекции"" с периодом ""Неделя""",""
"passed","Tue Oct 28 17:11:01 GMT 2025","Tue Oct 28 17:11:14 GMT 2025","13018","API test case","test_dashboards","TestDashboards","","","п.3, Проверка отображения инспекций СК в диаграмме ""Инспекции"" с периодом ""Неделя""",""
"passed","Tue Oct 28 17:10:08 GMT 2025","Tue Oct 28 17:10:08 GMT 2025","351","API test case","test_users","TestUsers","","","Получение информации о пользователе",""
"failed","Tue Oct 28 17:13:39 GMT 2025","Tue Oct 28 17:13:52 GMT 2025","13890","API test case","test_dashboards","TestDashboards","","","п.6, Проверка отображения инспекций ВК в диаграмме ""Инспекции"" с периодом ""Неделя""",""
"passed","Tue Oct 28 17:10:09 GMT 2025","Tue Oct 28 17:10:09 GMT 2025","333","API test case","test_dashboards","TestDashboards","","","Получение основной информации в Дашборде",""
"passed","Tue Oct 28 17:10:45 GMT 2025","Tue Oct 28 17:10:58 GMT 2025","12923","API test case","test_dashboards","TestDashboards","","","п.3, Проверка отображения инспекций СК в диаграмме ""Инспекции"" с периодом ""Неделя""",""
"passed","Tue Oct 28 17:14:14 GMT 2025","Tue Oct 28 17:14:29 GMT 2025","14804","API test case","test_dashboards","TestDashboards","","","п.6, Проверка отображения инспекций ВК в диаграмме ""Инспекции"" с периодом ""Неделя""",""
"failed","Tue Oct 28 17:10:29 GMT 2025","Tue Oct 28 17:10:41 GMT 2025","12727","API test case","test_dashboards","TestDashboards","","","п.3, Проверка отображения инспекций СК в диаграмме ""Инспекции"" с периодом ""Неделя""",""
"passed","Tue Oct 28 17:16:35 GMT 2025","Tue Oct 28 17:16:36 GMT 2025","483","API test case","test_structures_smr","TestStructuresSmr","","","Создание нового раздела в структуре СМР",""
"passed","Tue Oct 28 17:10:13 GMT 2025","Tue Oct 28 17:10:26 GMT 2025","12569","API test case","test_dashboards","TestDashboards","","","п.3, Проверка отображения инспекций СК в диаграмме ""Инспекции"" с периодом ""Неделя""",""
"passed","Tue Oct 28 17:16:39 GMT 2025","Tue Oct 28 17:16:40 GMT 2025","374","API test case","test_structures_smr","TestStructuresSmr","","","Обновление данных работы в структуре СМР",""
